zatu_handle,zatu_title,reason,bgg_id,bgg_name,score
compile-aux-2,Compile Aux 2,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
dice-tray-orange-black,Zatu Dice Tray - Orange/Black,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.63636363636363
root-the-exiles-and-partisans-deck,Root: The Exiles and Partisans Deck,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
dune-imperium-bloodlines,Dune: Imperium - Bloodlines,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
forest-shuffle-woodland-edge,Forest Shuffle: Woodland Edge,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
ghost-blitz-geistes-blitz,Ghost Blitz (Geistes Blitz),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.1578947368421
diamant-2024-edition,Diamant (2024 Edition),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
exit-cemetery-of-the-knight,EXIT: Cemetery of the Knight,"QUALITY_GATE: shrunk=6.94, usersrated=1467",295945,EXIT: The Game – The Cemetery of the Knight,100.0
coffee-rush,Coffee Rush,"QUALITY_GATE: shrunk=7.08, usersrated=5726",377061,Coffee Rush,100.0
anomia,Anomia,"QUALITY_GATE: shrunk=6.69, usersrated=6021",67877,Anomia,100.0
wyrmspan-dragon-academy-expansion,Wyrmspan Dragon Academy Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
exit-the-polar-station,EXIT: The Polar Station,"QUALITY_GATE: shrunk=6.82, usersrated=3965",215842,EXIT: The Game – The Polar Station,100.0
small-world,Small World,"QUALITY_GATE: shrunk=7.19, usersrated=75277",40692,Small World,100.0
one-night-ultimate-werewolf,One Night Ultimate Werewolf,"QUALITY_GATE: shrunk=7.03, usersrated=31197",147949,One Night Ultimate Werewolf,100.0
dobble-harry-potter,Dobble Harry Potter,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,85.71428571428572
qwirkle,Qwirkle,"QUALITY_GATE: shrunk=6.77, usersrated=22442",25669,Qwirkle,100.0
wingspan-asia-standalone-expansion,Wingspan: Asia (standalone expansion),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,61.01694915254237
odins-ravens,Odin's Ravens,"QUALITY_GATE: shrunk=6.64, usersrated=3968",4396,Odin's Ravens,100.0
heat-pedal-to-the-metal-expansion-heavy-rain,Heat: Pedal to the Metal Expansion - Heavy Rain,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,64.40677966101696
scythe-wind-gambit,Scythe: The Wind Gambit,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
root-the-underworld-expansion,Root: The Underworld Expansion,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
mistborn-the-deck-building-game,Mistborn: The Deck Building Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,83.63636363636364
the-fox-in-the-forest,The Fox in the Forest,"QUALITY_GATE: shrunk=7.05, usersrated=18517",221965,The Fox in the Forest,100.0
streaking-kittens-exploding-kittens-exp,Streaking Kittens: Exploding Kittens Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,67.53246753246754
azul-duel,Azul Duel,"QUALITY_GATE: shrunk=6.97, usersrated=3110",431038,Azul Duel,100.0
fog-of-love,Fog of Love,"QUALITY_GATE: shrunk=6.59, usersrated=8734",175324,Fog of Love,100.0
spots,Spots,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
ok-play,OK Play,"QUALITY_GATE: shrunk=6.63, usersrated=20",266072,OK Play Duel,95.0
horrified,Horrified: Universal Monsters,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,76.36363636363637
first-journey-europe-ticket-ride,Ticket to Ride: First Journey Europe,"QUALITY_GATE: shrunk=6.99, usersrated=2313",218208,Ticket to Ride: First Journey (Europe),100.0
exit-the-sinister-mansion,EXiT - The Sinister Mansion,"QUALITY_GATE: shrunk=7.18, usersrated=2917",226520,EXIT: The Game – The Sinister Mansion,100.0
terraforming-mars-the-colonies,Terraforming Mars: The Colonies,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
mysterium-park,Mysterium Park,"QUALITY_GATE: shrunk=6.99, usersrated=5782",301767,Mysterium Park,100.0
watergate,Watergate,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
point-salad,Point Salad,"QUALITY_GATE: shrunk=7.08, usersrated=23584",274960,Point Salad,100.0
carcassonne-mists-over-carcassonne,Carcassonne - Mists over Carcassonne,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,78.57142857142857
cascadia-landmarks,Cascadia - Landmarks,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
port-royal,Port Royal,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
